Test,Temp,Power,Vib,Class,Risk
1,3527,6738,924,2,48
2,6129,4909,851,7,0
3,5175,5309,290,7,0
4,2623,3047,319,7,0
5,3233,3606,529,7,0
6,4300,7252,643,7,0
7,5956,7023,935,2,70
8,2231,5330,660,7,0
9,3910,5119,749,7,0
10,5161,1549,400,7,0
11,5227,9748,828,1,874
12,6132,6512,649,7,0
13,6706,9215,726,1,607
14,3978,1517,897,7,0
15,2446,8908,722,1,454
16,2147,1696,910,2,20
17,2975,1327,845,7,0
18,7847,4506,219,0,173
19,4253,7056,532,7,0
20,3636,5377,905,2,10
21,6943,1038,68,7,0
22,6823,3035,905,2,10
23,2699,2831,739,7,0
24,2454,8145,249,1,72
25,6022,4089,903,2,6
26,4114,3108,935,2,70
27,7990,8923,413,3,706
28,2161,2703,108,7,0
29,2896,2186,277,7,0
30,5692,8646,606,1,323
31,6828,4634,40,7,0
32,3797,3211,800,7,0
33,2832,6825,920,2,40
34,2645,7263,306,7,0
35,2493,2964,23,7,0
36,3690,3682,191,7,0
37,4514,2941,694,7,0
38,5025,3347,696,7,0
39,2465,4101,43,7,0
40,2412,5514,474,7,0
41,2512,2319,303,7,0
42,3509,2418,639,7,0
43,4976,3451,896,7,0
44,2163,8869,751,1,434
45,2216,2063,807,7,0
46,6451,8262,487,1,131
47,5496,8667,552,1,333
48,3765,2013,836,7,0
